City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
119,Jonacatepec,MX,75.38,clear sky,18.6833,-98.8,Raíz de Amate
122,Hirara,JP,62.19,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
132,Ternate,ID,79.9,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
134,Tarecuato,MX,64.65,clear sky,19.85,-102.4833,La virgen de la cantera
135,Nhulunbuy,AU,77.61,light rain,-12.2333,136.7667,East Arnhem Real Estate
137,Mar Del Plata,AR,64.42,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
138,Yuanli,TW,62.24,broken clouds,24.4397,120.6535,東里家風古厝民宿
139,Castro,BR,75.16,light rain,-24.7911,-50.0119,CHACARA BAILLY
141,Kerema,PG,77.04,overcast clouds,-7.9631,145.7785,Frena Lodge
143,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
145,Namatanai,PG,79.99,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
146,Faanui,PF,81.09,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
148,Seguela,CI,83.48,few clouds,7.9611,-6.6731,Hotel le Carrefour
154,Marawi,PH,66.65,few clouds,7.9986,124.2928,Derogongan Residence
161,Sao Joao Da Barra,BR,86.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
162,Cidreira,BR,73.99,overcast clouds,-30.1811,-50.2056,Hotel Castelo
163,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
168,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
170,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
173,Bengkulu,ID,74.25,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
176,Esperance,AU,66.04,clear sky,-33.8667,121.9,Hospitality Esperance
177,Menongue,AO,60.13,overcast clouds,-14.6585,17.691,Ritz Lauca
179,Trelew,AR,68.31,clear sky,-43.249,-65.3051,Hotel Touring Club
180,Santa Isabel,BR,89.17,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
183,Sira,IN,71.87,scattered clouds,13.7453,76.9092,Sri Venkateshwara Lodge
184,Haikou,CN,62.73,broken clouds,20.0458,110.3417,Sun City Restaurant
188,Camacha,PT,64.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
190,Fare,PF,81.21,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
193,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
194,Yagoua,CM,76.84,overcast clouds,10.3411,15.2329,Sahel Hotel
202,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
206,Axim,GH,80.62,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
207,Nikki,BJ,80.65,clear sky,9.9401,3.2108,Hotel John
208,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
209,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
210,Sharjah,AE,74.25,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
211,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
214,Bosaso,SO,74.05,scattered clouds,11.2842,49.1816,Red Sea Hotel
218,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
219,Ibiruba,BR,75.76,overcast clouds,-28.6275,-53.0897,Hotel Pitangueira - O melhor serviço pelo menor preço.
223,East London,ZA,67.14,light intensity drizzle,-33.0153,27.9116,Tu Casa
224,Kipini,KE,79.09,overcast clouds,-2.5257,40.5262,Delta Sea Mall
226,Sechura,PE,83.48,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
227,Port Alfred,ZA,70.34,light rain,-33.5906,26.891,The Halyards Hotel
228,Padang,ID,74.16,light rain,-0.9492,100.3543,Mercure Padang
230,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
234,Sucua,EC,84.94,thunderstorm,-2.4667,-78.1667,Hotel Orellana
235,Isiro,CD,71.78,overcast clouds,2.7739,27.616,Guest House Hewa Bora
236,Port Keats,AU,76.53,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
237,Tocopilla,CL,73.13,few clouds,-22.092,-70.1979,Hotel Galvarino
240,Lorengau,PG,80.64,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
251,Lebu,CL,64.22,clear sky,-37.6167,-73.65,Hostal Las Lilas
252,Victoria,HK,61.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
255,Itamaraca,BR,86.68,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
257,Ouro Preto Do Oeste,BR,82.22,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
